Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17208924,"Will Grayson, Will Grayson (Will Grayson, Will Grayson, #1)",John Green,"Green, John",David Levithan,"=""0141346116""","=""9780141346113""",4,3.70,Penguin Books Ltd,Paperback,308,2012,2010,2014/08/21,2014/08/15,,,read,,,,1,0
17878931,"Red Queen (Red Queen, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""1409151174""","=""9781409151173""",0,4.00,Orion,Hardcover,383,2015,2015,,2015/03/14,to-read,to-read (#22),to-read,,,,0,0
24983759,Catalyst,Laurie Halse Anderson,"Anderson, Laurie Halse",,"=""1407138588""","=""9781407138589""",3,3.61,Scholastic,Paperback,240,2014,2002,2015/03/14,2015/03/01,,,read,It felt... Unresolved and lots of things were left unexplained. ,,,1,0
18662934,Landline,Rainbow Rowell,"Rowell, Rainbow",,"=""1409152111""","=""9781409152118""",4,3.54,Orion,Paperback,310,2014,2014,2015/03/10,2015/03/04,,,read,It was okay in that strange story line but it was really draggy and the plot felt... Underdeveloped ,,,1,0
16067008,Stitching Snow,R.C. Lewis,"Lewis, R.C.",,"=""1423187970""","=""9781423187974""",0,3.88,Disney-Hyperion,ebook,338,2014,2014,,2015/03/04,to-read,to-read (#21),to-read,,,,0,0
18481271,"Unite Me (Shatter Me, #1.5-2.5)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062327968""","=""9780062327963""",4,3.93,HarperTeen,Paperback,197,2014,2014,2015/03/03,2015/03/02,,,read,,,,1,0
13206828,"Cress (The Lunar Chronicles, #3)",Marissa Meyer,"Meyer, Marissa",,"=""0312642970""","=""9780312642976""",0,4.41,Feiwel & Friends,Hardcover,552,2014,2014,,2014/11/10,,,read,,,,1,0
18295852,The Geography of You and Me,Jennifer E. Smith,"Smith, Jennifer E.",,"=""0316254770""","=""9780316254779""",4,3.65,Poppy,Hardcover,337,2014,2014,2015/03/01,2015/02/28,,,read,,,,1,0
13188676,"Ignite Me (Shatter Me, #3)",Tahereh Mafi,"Mafi, Tahereh",,"=""""","=""""",5,4.47,HarperCollins ,Kindle Edition,421,2014,2014,2015/02/28,2015/02/26,,,read,It would be a loss if you didn't read it because it's so darn good ,,,1,0
13104080,"Unravel Me (Shatter Me, #2)",Tahereh Mafi,"Mafi, Tahereh",,"=""0062085530""","=""9780062085535""",5,4.14,HarperCollins ,Hardcover,461,2013,2013,2015/02/25,2015/02/23,,,read,,,,1,0
8475505,"Rebel Belle (Rebel Belle, #1)",Rachel Hawkins,"Hawkins, Rachel",,"=""0399256938""","=""9780399256936""",0,3.81,Putnam Juvenile,Hardcover,345,2014,2014,,2015/02/22,to-read,to-read (#20),to-read,,,,0,0
7691783,The Double Life of Cassiel Roadnight,Jenny Valentine,"Valentine, Jenny",,"=""000728361X""","=""9780007283613""",4,3.67,Harper Collins Children's Books,Paperback,284,,2010,2015/02/22,2015/02/22,,,read,The main parts of the plot was pretty expected but I liked it. It made me feel all of chaps anxiousness and paranoia. Real heart pounding emotion.,,,1,0
16101168,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,"Perkins, Stephanie",,"=""0142422010""","=""9780142422014""",5,3.90,Speak,Paperback,338,2013,2011,2015/01/17,2014/10/30,,,read,I love this book so much I can't even contain myself... Help me ,,,1,0
